part_id;coaxiality;diameter;length
200101;20.3;0.007;163.649
200102;29.2;0.0055;163.656
200103;46.2;0.0035;163.66
200104;28.8;0.0015;163.66
200201;14.9;0.008;163.671
200202;32.2;0.0045;163.654
200203;44.4;0.0055;163.652
200204;42.7;0.004;163.646
200301;34.1;0.0035;163.653
200302;22.3;0.0005;163.649
200303;44;0;163.653
200304;33.9;0.0005;163.658
200401;9.09;0;163.677
200402;13.2;0.001;163.668
200403;32;-0.0005;163.665
200404;18.4;-0.002;163.659
200501;49.6;0.003;163.675
200502;48.7;-0.001;163.673
200503;45.5;0;163.659
200504;39.1;-0.0005;163.648
200601;7.31;0;163.694
200602;22.5;-0.0015;163.678
200603;7.72;-0.0025;163.689
200604;38;-0.006;163.644
200701;6.31;-0.0005;163.656
200702;35.6;-0.0025;163.692
200703;55.1;-0.0075;163.629
200704;13.9;-0.005;163.629
200801;28.2;-0.002;163.58
200802;36.6;-0.0055;163.628
200803;24;-0.0025;163.629
200804;44.7;-0.003;163.634
200901;21.6;-0.005;163.639
200902;52.5;-0.003;163.645
200903;25.1;-0.0085;163.633
200904;50.5;-0.0085;163.646
201001;20.5;-0.006;163.637
201002;45.8;-0.0045;163.646
201003;17;-0.003;163.629
201004;24.1;-0.0035;163.639
201101;21.4;0.0065;163.654
201102;35.9;0.0095;163.656
201103;45.6;0.0055;163.652
201104;42.3;0.005;163.714
201201;46.9;0.005;163.654
201202;44.2;-0.001;163.662
201301;55.1;0.0025;163.667
201302;49.4;0.0005;163.701
201303;41.9;0.002;163.66
201304;54.6;0.008;163.663
201401;33.3;-0.0025;163.653
201402;34.4;-0.0015;163.662
201403;22.7;0.001;163.669
201404;34;-0.002;163.672
201501;23.6;-0.005;163.653
201502;56.7;-0.0025;163.661
201503;29.5;-0.0015;163.661
201504;26.6;-0.0005;163.675
201601;38.3;-0.003;163.67
201602;25;-0.0025;163.709
201603;8.22;-0.004;163.674
201604;6.32;-0.003;163.715
201701;45.6;-0.005;163.682
201702;41.8;-0.0075;163.73
201703;42.7;-0.007;163.702
201704;42.8;-0.002;163.73
201801;22.2;-0.0045;163.672
201802;32.1;-0.006;163.655
201803;24.9;-0.006;163.713
201804;10.8;-0.008;163.689
201901;44.4;-0.0055;163.677
201902;41;-0.0075;163.669
201903;40.2;-0.006;163.662
201904;16.4;-0.0075;163.71
202001;41.9;-0.0085;163.706
202002;25.1;-0.0065;163.672
202003;48.6;-0.004;163.692
202004;44;-0.008;163.646
202101;38.7;-0.002;163.662
202102;23.4;-0.005;163.672
202103;47.8;-0.003;163.739
202104;35.6;-0.0075;163.743
202201;4.94;-0.0025;163.667
202202;29.4;-0.008;163.667
202203;29.9;-0.0065;163.703
202204;29.3;-0.006;163.699
202301;39;-0.002;163.725
202302;65.1;-0.0065;163.661
202303;39.9;-0.0055;163.669
202304;35.3;-0.006;163.663
202401;43.7;-0.0045;163.67
202402;42.9;-0.008;163.656
202403;17.3;-0.0055;163.671
202404;18.9;-0.0075;163.661
202501;12.1;0;163.669
202502;50.4;-0.004;163.666
202503;18.9;-0.0025;163.656
202504;18.3;-0.003;163.743
202601;13.4;-0.002;163.694
202602;8.22;-0.0025;163.661
202603;2.96;-0.0005;163.729
202604;43.5;-0.001;163.684
202701;42.1;0.0065;163.693
202702;38.2;0.005;163.749
202703;43.8;0.0015;163.67
202801;45.2;-0.006;163.493
202803;61;-0.0025;163.678
202804;49;-0.011;163.697
202901;25.8;-0.0065;163.673
202902;40.6;-0.007;163.699
202903;13.7;-0.0075;163.68
203001;49.6;-0.004;163.676
203002;50.6;-0.01;163.688
203003;49.9;-0.006;163.698
203004;48.5;-0.0075;163.738
203101;66.8;-0.0115;163.691
203102;65;-0.0125;163.668
203103;57.4;-0.0095;163.672
203104;68.6;-0.0105;163.666
203202;28.2;-0.009;163.688
203204;39.1;-0.0115;163.669
203301;24.4;-0.0085;163.693
203302;38.9;-0.0055;163.668
203303;23.9;-0.0045;163.678
203304;17.1;-0.007;163.683
203401;45.6;-0.006;163.694
203402;55.3;-0.0095;163.665
203403;63;-0.0075;163.683
203404;67.7;-0.007;163.695
203501;3.89;-0.0055;163.673
203502;8.75;-0.0105;163.665
203503;17.2;-0.007;163.683
203504;49.7;-0.01;163.66
203601;60;-0.0045;163.665
203602;31.9;-0.0105;163.66
203603;11.3;-0.005;163.664
203604;37.4;-0.0095;163.668
203701;38.5;-0.007;163.667
203702;48.8;-0.0035;163.684
203703;37.2;-0.005;163.674
203704;35.9;-0.0055;163.671
203801;39.5;-0.0075;163.674
203802;18.7;-0.0115;163.679
203803;22.2;-0.01;163.666
203804;27.3;-0.009;163.69
203901;25.9;-0.003;163.681
