1002 Teilebezeichnung;;;Zylinderboden_D40;Zylinderboden_D40;Zylinderboden_D40;Zylinderboden_D40;
2002 Merkmalbezeichnung;;;Rauhheit_Oberfläche;Parallelität;Nuttiefe;Nutdurchmesser;
2101 Nennmaß;;;0,0000;0,0000;0,8000;0,0000;
Messwerte;14 Teileidentnummer;4 Datum/Zeit;1 Messwert;1 Messwert;1 Messwert;1 Messwert;
;106204;18.11.2022 13:15:49;1,764;0,0325;0,787;-0,041;
;106103;18.11.2022 13:20:24;1,677;0,0215;0,783;-0,0405;
;106203;18.11.2022 13:23:27;1,791;0,029;0,783;-0,0395;
;105902;18.11.2022 13:26:34;1,346;0,035;0,788;-0,0425;
;105803;18.11.2022 13:29:26;1,872;0,0245;0,784;-0,0405;
;106003;18.11.2022 13:32:53;1,776;0,0265;0,783;-0,0445;
;106002;18.11.2022 13:36:25;1,771;0,0325;0,79;-0,0385;
;105903;18.11.2022 13:41:04;1,944;0,0305;0,779;-0,039;
;106104;18.11.2022 13:44:00;1,975;0,03;0,784;-0,0435;
;105802;18.11.2022 13:46:35;1,888;0,0335;0,775;-0,04;
;105901;18.11.2022 14:00:00;1,928;0,0235;0,798;-0,025;
;106202;18.11.2022 14:03:23;1,502;0,0425;0,8;-0,042;
;106102;18.11.2022 14:07:13;1,496;0,06;0,8;-0,038;
;105801;18.11.2022 14:11:15;1,609;0,0315;0,796;-0,04;
;106001;18.11.2022 14:17:10;1,532;0,083;0,789;-0,0305;
;106101;18.11.2022 14:23:39;1,926;0,048;0,79;-0,035;
;106201;18.11.2022 14:33:44;1,785;0,05;0,789;-0,037;
;105301;18.11.2022 14:50:28;1,685;0,047;0,794;-0,033;
;105302;18.11.2022 15:00:53;1,711;0,041;0,795;-0,0305;
;105303;18.11.2022 15:10:45;1,549;0,041;0,788;-0,042;
;105304;18.11.2022 15:21:43;1,856;0,028;0,79;-0,0305;
;105401;18.11.2022 15:31:13;1,71;0,0315;0,797;-0,0385;
;105402;18.11.2022 15:42:26;1,661;0,0235;0,797;-0,0305;
;105403;18.11.2022 15:55:30;1,677;0,025;0,794;-0,035;
;105404;18.11.2022 16:06:05;1,747;0,022;0,797;-0,0355;
;105501;18.11.2022 16:15:38;2,014;0,0335;0,796;-0,037;
;105503;18.11.2022 16:44:40;1,718;0,038;0,789;-0,04;
;105502;18.11.2022 16:47:00;1,666;0,0435;0,788;-0,032;
;105504;18.11.2022 16:49:15;1,717;0,027;0,792;-0,0335;
;105601;21.11.2022 17:23:31;1,819;0,0215;0,798;-0,021;
;105602;21.11.2022 17:39:23;1,737;0,0205;0,8;-0,032;
;105603;21.11.2022 17:49:05;1,695;0,0155;0,793;-0,0345;
;105604;21.11.2022 17:59:26;1,684;0,0185;0,795;-0,031;
;104801;23.11.2022 15:34:56;1,709;0,015;0,782;-0,013;
;105701;23.11.2022 15:37:36;1,699;0,0305;0,792;-0,034;
;104802;23.11.2022 15:39:17;1,82;0,0395;0,791;-0,0355;
;105702;23.11.2022 15:41:09;1,59;0,0215;0,792;-0,0355;
;105703;23.11.2022 15:43:02;1,882;0,0235;0,79;-0,0355;
;104804;23.11.2022 15:44:26;1,516;0,0175;0,795;-0,036;
;104901;23.11.2022 15:47:43;1,712;0,038;0,798;-0,032;
;104903;23.11.2022 15:54:35;2,078;0,02;0,793;-0,0325;
;e;23.11.2022 15:56:45;1,759;0,0325;0,789;-0,035;
;104902;23.11.2022 16:02:46;1,744;0,015;0,793;-0,034;
;105002;23.11.2022 16:05:02;1,506;0,0185;0,789;-0,029;
;104904;23.11.2022 16:06:30;1,685;0,016;0,791;-0,033;
;105004;23.11.2022 16:07:58;1,868;0,0205;0,788;-0,033;
;105101;23.11.2022 16:09:12;1,807;0,014;0,795;-0,0345;
;105003;23.11.2022 16:15:01;1,619;0,025;0,797;-0,0325;
;105704;23.11.2022 16:16:39;1,663;0,028;0,789;-0,035;
;105001;23.11.2022 16:20:55;1,683;0,021;0,788;-0,029;
;105102;23.11.2022 16:37:24;1,654;0,029;0,788;-0,0325;
;105104;23.11.2022 16:39:08;2,488;0,0285;0,792;-0,0335;
;105103;23.11.2022 16:41:06;1,756;0,0325;0,788;-0,0315;
;105201;23.11.2022 16:49:31;1,803;0,021;0,792;-0,029;
;105202;23.11.2022 16:52:56;1,659;0,04;0,785;-0,03;
;105203;23.11.2022 17:00:21;1,758;0,0295;0,791;-0,0345;
;105204;25.11.2022 11:43:19;2,184;0,0745;0,79;-0,032;
;101001;25.11.2022 11:57:24;1,609;0,0275;0,793;-0,032;
;101002;25.11.2022 12:04:49;1,956;0,026;0,788;-0,0295;
;101003;25.11.2022 12:17:59;1,588;0,0245;0,794;-0,0275;
;101004;25.11.2022 12:28:56;1,678;0,043;0,791;-0,0275;
;100901;25.11.2022 12:40:22;1,614;0,049;0,798;-0,031;
;100902;25.11.2022 12:49:47;1,734;0,0235;0,79;-0,032;
;100903;25.11.2022 13:00:22;1,87;0,0415;0,789;-0,0315;
;100904;25.11.2022 13:12:31;1,703;0,03;0,79;-0,0275;
;100801;25.11.2022 13:21:16;2,032;0,0575;0,786;-0,0295;
;100803;25.11.2022 15:30:28;1,865;0,0325;0,79;-0,0285;
;100604;25.11.2022 15:35:27;2,157;0,0995;0,798;-0,036;
;100503;25.11.2022 16:39:50;1,747;0,232;0,799;-0,035;
;100804;25.11.2022 16:45:20;2,01;0,0405;0,802;-0,03;
;100701;25.11.2022 16:48:33;2,554;0,0245;0,788;-0,037;
;100601;25.11.2022 16:49:58;1,681;0,1155;0,805;-0,0405;
;100603;25.11.2022 16:51:50;2,338;0,0695;0,792;-0,0355;
;100704;25.11.2022 16:53:35;1,878;0,114;0,789;-0,04;
;100802;25.11.2022 16:55:16;1,607;0,0375;0,795;-0,038;
