1001 Teilenummer;;;;;;;
1002 Teilebezeichnung;Kolbenstange_V5;;Kolbenstange_V5;;Kolbenstange_V5;;
2002 Merkmalbezeichnung;Koaxalit�t;;Durchmesser nach Gewinde;;L�nge;;
2101 Nennma�;0,0000;;0,0000;;163,6000;;
2104 Toleranzwert;0;;0;;0;;
2110 Untere Spezifikationsgrenze;0,0000;;-0,0180;;163,4500;;
2111 Obere Spezifikationsgrenze;50,0000;;0,0180;;163,7500;;
Messwerte;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;
;211203;31,1;211203;0,007;211203;163,644;
;211201;17,1;211201;0,004;211201;163,643;
;211302;40,1;211302;-0,003;211302;163,7;
;211301;17,4;211301;0,008;211301;163,631;
;211103;48,1;211103;-0,007;211103;163,629;
;211101;96,7;211101;-0,007;211101;163,713;
;211003;32,2;211003;0,007;211003;163,644;
;211001;54,9;211001;0,013;211001;163,698;
;210903;21,7;210903;0,006;210903;163,645;
;210901;31,9;210901;0,005;210901;163,647;
;210804;43,7;210804;0,003;210804;163,638;
;211204;11,1;211204;0,005;211204;163,685;
;211202;23;211202;-0,001;211202;163,732;
;210803;32,9;210803;0,002;210803;163,705;
;210902;9,64;210902;0,009;210902;163,632;
;210904;46,4;210904;0,007;210904;163,677;
;211002;40;211002;0,008;211002;163,622;
;211104;48,6;211104;-0,005;211104;163,685;
;211004;33,7;211004;0,006;211004;163,623;
;211102;44,2;211102;-0,015;211102;163,6;
;211401;18,5;211401;-0,007;211401;163,609;
;211403;52,4;211403;-0,009;211403;163,607;
;211501;38,6;211501;0,014;211501;163,602;
;211303;24,3;211303;0,003;211303;163,607;
;211604;35;211604;0,01;211604;163,606;
;211603;31,5;211603;0,007;211603;163,61;
;211503;39,1;211503;0,019;211503;163,611;
;211601;37,7;211601;0,017;211601;163,638;
;211304;32,2;211304;0,005;211304;163,604;
;211402;27,4;211402;-0,006;211402;163,652;
;211404;20,2;211404;-0,005;211404;163,612;
;211502;38,3;211502;0,01;211502;163,631;
;211504;37,4;211504;0,009;211504;163,604;
;211602;45,9;211602;0,01;211602;163,609;
;210304;33,7;210304;-0,002;210304;163,611;
;210402;42,9;210402;-0,002;210402;163,614;
;210404;24,3;210404;-0,002;210404;163,613;
;210502;22,6;210502;0;210502;163,631;
;210504;35,9;210504;0,002;210504;163,617;
;210602;36,4;210602;0;210602;163,668;
;210604;36,8;210604;0,001;210604;163,625;
